"----------------OOOOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","O","X","X","X","X","X"
"---------------O-OOOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","O","X","X","X","X","X"
"---------------OO-OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","O","X","X","X","X","X"
"---------------XXXXX-OOOO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","X","X","X","X","X","-","O","O","O","O"
"---------------XXXXXO-OOO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","X","X","X","X","X","O","-","O","O","O"
"---------------XXXXXOO-OO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","X","X","X","X","X","O","O","-","O","O"
"--------------O--OOOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","O","X","X","X","X","X"
"--------------O-O-OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","O","O","X","X","X","X","X"
"--------------O-OO-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","O","X","X","X","X","X"
"--------------O-OOO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","O","-","X","X","X","X","X"
"--------------OO--OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","O","O","X","X","X","X","X"
"--------------OO-O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","O","X","X","X","X","X"
"--------------OO-OO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","O","-","X","X","X","X","X"
"--------------OOO--OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","O","X","X","X","X","X"
"--------------OOO-O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","O","-","X","X","X","X","X"
"--------------OOOO--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","O","-","-","X","X","X","X","X"
"--------------OXXXXX--OOO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","-","-","O","O","O"
"--------------OXXXXX-O-OO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","-","O","-","O","O"
"--------------OXXXXX-OO-O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","-","O","O","-","O"
"--------------OXXXXX-OOO-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","-","O","O","O","-"
"--------------OXXXXXO--OO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","O","-","-","O","O"
"--------------OXXXXXO-O-O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","O","-","O","-","O"
"--------------OXXXXXO-OO-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","O","-","O","O","-"
"--------------OXXXXXOO--O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","O","O","-","-","O"
"--------------OXXXXXOO-O-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","O","O","-","O","-"
"--------------OXXXXXOOO--","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","O","X","X","X","X","X","O","O","O","-","-"
"-------------O---OOOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","O","O","X","X","X","X","X"
"-------------O--O-OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","O","O","X","X","X","X","X"
"-------------O--OO-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","-","O","X","X","X","X","X"
"-------------O--OOO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","O","-","X","X","X","X","X"
"-------------O-O--OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","O","O","X","X","X","X","X"
"-------------O-O-O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","O","-","O","X","X","X","X","X"
"-------------O-O-OO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","O","O","-","X","X","X","X","X"
"-------------O-OO--OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","-","O","X","X","X","X","X"
"-------------O-OO-O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","O","-","X","X","X","X","X"
"-------------O-OOO--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","O","-","-","X","X","X","X","X"
"-------------O-XXXXX--OOO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","-","-","O","O","O"
"-------------O-XXXXX-O-OO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","-","O","-","O","O"
"-------------O-XXXXX-OO-O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","-","O","O","-","O"
"-------------O-XXXXX-OOO-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","-","O","O","O","-"
"-------------O-XXXXXO--OO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","O","-","-","O","O"
"-------------O-XXXXXO-O-O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","O","-","O","-","O"
"-------------O-XXXXXO-OO-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","O","-","O","O","-"
"-------------O-XXXXXOO--O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","O","O","-","-","O"
"-------------O-XXXXXOO-O-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","O","O","-","O","-"
"-------------O-XXXXXOOO--","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","-","X","X","X","X","X","O","O","O","-","-"
"-------------OO---OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","-","O","O","X","X","X","X","X"
"-------------OO--O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","O","-","O","X","X","X","X","X"
"-------------OO--OO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","O","O","-","X","X","X","X","X"
"-------------OO-O--OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","-","O","X","X","X","X","X"
"-------------OO-O-O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","O","-","X","X","X","X","X"
"-------------OO-OO--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","O","-","-","X","X","X","X","X"
"-------------OOO---OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","-","O","X","X","X","X","X"
"-------------OOO--O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","O","-","X","X","X","X","X"
"-------------OOO-O--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","O","-","-","X","X","X","X","X"
"-------------OOOO---XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","O","-","-","-","X","X","X","X","X"
"-------------OOXXXXX---OO","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","-","-","-","O","O"
"-------------OOXXXXX--O-O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","-","-","O","-","O"
"-------------OOXXXXX--OO-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","-","-","O","O","-"
"-------------OOXXXXX-O--O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","-","O","-","-","O"
"-------------OOXXXXX-O-O-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","-","O","-","O","-"
"-------------OOXXXXX-OO--","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","-","O","O","-","-"
"-------------OOXXXXXO---O","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","O","-","-","-","O"
"-------------OOXXXXXO--O-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","O","-","-","O","-"
"-------------OOXXXXXO-O--","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","O","-","O","-","-"
"-------------OOXXXXXOO---","X","-","-","-","-","-","-","-","-","-","-","-","-","-","O","O","X","X","X","X","X","O","O","-","-","-"
"------------O----OOOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","-","-","O","O","O","X","X","X","X","X"
"------------O---O-OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","-","O","O","X","X","X","X","X"
"------------O---OO-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","O","-","O","X","X","X","X","X"
"------------O---OOO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","-","O","O","O","-","X","X","X","X","X"
"------------O--O--OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","-","O","O","X","X","X","X","X"
